url,ProductName,Unit,price,unit_price,NetContents,unit_carbs,unit_energy,unit_fat,unit_protein,vegan
https://www.tesco.ie/groceries/en-IE/products/316542629,Wheyhey Mint Chocolate Ice Cream Sticks 3x60g,100g,€5.00,27.78,3 x 60g ℮,9.4g,621.0,7.6,8.5,False
https://www.tesco.ie/groceries/en-IE/products/255886418,Tesco Classic Christmas Pudding 100G,100g,€2.50,25.0,100g e,5.6g,1405.0,6.8,2.4,False
https://www.tesco.ie/groceries/en-IE/products/293704059,Werthers Original Golden Mix 340G,100g,€9.00,26.47,340g ℮,,1796.0,12.5,2.0,False
https://www.tesco.ie/groceries/en-IE/products/318085251,BONVALLIS FIG AND ALMONDS CAKE 250g,100g,€3.80,15.2,250g,10g,1413.0,12.0,6.0,False
https://www.tesco.ie/groceries/en-IE/products/310139339,Lindt Lindor Double Chocolate Truffles 200G,100g,€8.50,42.5,200g ℮,,2626.0,50.0,5.6,False
https://www.tesco.ie/groceries/en-IE/products/318073576,Slicey Air Fryer Thin Crust Sicilian Style Margherita Pizza Slice 128g,100g,€3.00,23.44,128g ℮,2.4g,1353.0,14.0,12.0,False
https://www.tesco.ie/groceries/en-IE/products/306277578,Kind Protein Caramel Nut 50g,100g,€2.99,59.8,50g ℮,14 g,2132.0,33.0,25.0,False
https://www.tesco.ie/groceries/en-IE/products/312340638,Brady Family Just Add Smoked Shredded Ham 90G,100g,€2.99,33.22,90g ℮,,434.0,2.3,22.6,False
https://www.tesco.ie/groceries/en-IE/products/252230975,Twinings Camomile & Honey 20 Tea Bags 30G,100ml,€4.55,151.67,30g,,10.0,0.0,0.0,False
https://www.tesco.ie/groceries/en-IE/products/318176604,East by Kwanghi Chan Spice Bag Seasoning with Korean Hot Pepper 80g,100g,€3.00,37.5,80g ℮,7.6g,461.0,4.4,4.2,False
https://www.tesco.ie/groceries/en-IE/products/302037230,Propercorn Sweet Microwave Popcorn 3X70g,100g,€3.99,19.0,3 x 70g ℮,8.5g,1948.0,23.7,6.3,True
https://www.tesco.ie/groceries/en-IE/products/317424405,Kerrygold Garlic and Herb Cream Cheese 150g,100g,€2.50,16.67,150g ℮,,1016.0,24.1,4.3,False
https://www.tesco.ie/groceries/en-IE/products/263061639,Lakeshore Plain Wholegrain Mustard 205G,100g,€2.60,12.68,205g,,782.0,10.0,9.0,False
https://www.tesco.ie/groceries/en-IE/products/314411984,Galaxy Smooth Milk Chocolate Bar 100G,100g,€2.99,29.9,100g,,2273.0,32.0,7.3,False
https://www.tesco.ie/groceries/en-IE/products/302555313,Butlers Yuletide Cracker 300G,100g,€12.00,32.88,300g ℮,,2062.0,29.0,5.8,False
https://www.tesco.ie/groceries/en-IE/products/311678197,Philadelphia Original Soft Cream Cheese 165G,100g,€2.65,16.06,165g ℮,0.2 g,933.0,21.0,5.4,False
https://www.tesco.ie/groceries/en-IE/products/275077390,Dairygold Baking Block 250G,100g,€1.29,5.16,250g ℮,,2798.0,75.6,0.5,False
https://www.tesco.ie/groceries/en-IE/products/317664253,Sons of Butchers Veggie Curry 500g,100g,€5.99,11.98,500g ℮,4.4g,272.0,0.9,2.8,False
https://www.tesco.ie/groceries/en-IE/products/289863993,Tilda Brown And Wild Steamed Basmati Rice 250G,100g,€2.50,10.0,250g ℮,3.0g,569.0,2.6,3.1,True
https://www.tesco.ie/groceries/en-IE/products/277465774,Tesco Finest Brie De Meaux Aop Portion 170G,100g,€4.20,24.71,170g e,0g,1131.0,20.0,20.4,False
https://www.tesco.ie/groceries/en-IE/products/298370738,Cully And Sully Beef And Vegetable Broth 550G,100g,€3.99,7.98,500g ℮,0.9g,150.0,1.1,2.9,False
https://www.tesco.ie/groceries/en-IE/products/306944060,Haribo Starmix 160G,100g,€1.33,8.31,160g ℮,,1.0,0.5,6.6,False
https://www.tesco.ie/groceries/en-IE/products/288716692,Betty Crocker Vanilla Buttercream Style Icing 400G,100g,€3.49,8.72,400g ℮,0.0g,1789.0,15.5,0.0,False
https://www.tesco.ie/groceries/en-IE/products/272651665,Tesco 6 Pack Mini Breadsticks 120G,100g,€1.65,13.75,120g e (6x20g),3.2g,1769.0,8.9,11.0,True
https://www.tesco.ie/groceries/en-IE/products/304787231,Lindt Lindor Milk Chocolate Gift Box 287G,100g,€15.00,52.26,287g ℮,,2584.0,47.0,5.0,False
https://www.tesco.ie/groceries/en-IE/products/296455884,Tesco Aioli Dip 200G,100g,€1.50,7.5,200g e,0.5g,2985.0,79.0,0.7,False
https://www.tesco.ie/groceries/en-IE/products/304611929,Macroom Bocconcini 160g,100g,€4.50,28.12,300g ℮,,951.0,20.0,11.0,False
https://www.tesco.ie/groceries/en-IE/products/268614007,Krakus Zywiecka Sausages 286G,100g,€3.70,12.94,286kg ℮,,901.0,14.0,22.0,False
https://www.tesco.ie/groceries/en-IE/products/266045712,Tesco Chocolate Coated Malted Milk 250,100g,€1.15,4.6,250g e,2.3g,2081.0,22.9,7.0,False
https://www.tesco.ie/groceries/en-IE/products/268828209,Kilmeaden White Cheddar 200G,100g,€3.50,17.5,200g ℮,,1618.0,32.0,26.0,False
https://www.tesco.ie/groceries/en-IE/products/311677760,Muller Bliss Lemon Greek Style Yogurt 4X105g,100g,€3.29,7.83,4 x 105g ℮,,684.0,6.0,4.1,False
https://www.tesco.ie/groceries/en-IE/products/307359958,Strong Roots The Kale & Quinoa Burger 300G,100g,€4.25,14.17,300g ℮,2.7,860.0,10.5,4.5,True
https://www.tesco.ie/groceries/en-IE/products/316054936,Green Isle Petits Pois 450g,100g,€2.00,4.44,450g ℮,5.5,299.0,0.7,5.5,False
https://www.tesco.ie/groceries/en-IE/products/316946590,Dolmio Bolognese Chunky Mushroom Pasta Sauce 450g,100g,€3.50,7.78,450g ℮,1.3 g,187.0,0.5,1.5,True
https://www.tesco.ie/groceries/en-IE/products/313956409,Cadbury Dairy Milk Buttons 5 Pack 70G,100g,€2.29,32.71,70g ℮,2.1 g,2234.0,30.0,7.3,False
https://www.tesco.ie/groceries/en-IE/products/315075711,Mccloskey's Sliced Tiger Bread 500G,100g,€3.50,7.0,500g ℮,,906.0,2.16,7.33,True
https://www.tesco.ie/groceries/en-IE/products/317866354,Garnacha Chipotle Salsa 250g,100g,€4.95,19.8,250g ℮,5.9g,198.0,0.7,1.3,False
https://www.tesco.ie/groceries/en-IE/products/250829207,Follain Traditional Orange Marmalade 370G,100g,€3.10,8.38,370g ℮,0.5g,1056.0,0.0,0.2,False
https://www.tesco.ie/groceries/en-IE/products/316926591,Tesco Finest Salted Caramel & Belgian Chocolate Semifreddo Log 614g,100g,€12.00,19.54,614g e,1.1g,1463.0,24.5,2.3,False
https://www.tesco.ie/groceries/en-IE/products/265431504,Old El Paso Tomato & Pepper Fajita Kit 505G,100g,€4.95,9.8,500g ℮,2.3 g,960.0,3.8,7.0,False
https://www.tesco.ie/groceries/en-IE/products/316553150,Diggers 4 Breaded Chicken Fillets 500g,100g,€6.00,12.0,500g ℮,,832.0,8.0,15.6,False
https://www.tesco.ie/groceries/en-IE/products/302479979,Finne Brogue Smoked 12 Naked Streaky Bacon 200G,100g,€3.89,19.45,200g ℮,<0.1g,1097.0,19.0,23.0,False
https://www.tesco.ie/groceries/en-IE/products/286265409,Cadbury Bournville Classic Dark Chocolate Bar 180g,100g,€3.50,19.44,180g ℮,"6,2 g",2194.0,28.0,4.0,False
https://www.tesco.ie/groceries/en-IE/products/314824524,Green Isle Fruit Snacks Pineapple Chunks 3X80g,100g,€3.50,14.58,3 x 80g,1.2,303.0,0.5,0.6,True
https://www.tesco.ie/groceries/en-IE/products/318176345,Bio&Me No Added Sugar Original Seed and Nut Porridge+ Pot 65g,100g,€1.75,26.92,65g ℮,3.2g,607.0,4.7,5.1,False
https://www.tesco.ie/groceries/en-IE/products/316932151,Julienne Bruno Plant Based Superstraccia 150g,100g,€5.29,35.27,150g,0.5g,1091.0,27.0,2.5,False
https://www.tesco.ie/groceries/en-IE/products/318090780,Donnelly Fresh Japanese Style Noodle Stir Fry Kit 450g,100g,€4.00,8.89,450g ℮,1.9g,433.0,1.4,3.5,False
https://www.tesco.ie/groceries/en-IE/products/309169391,Blue Dragon Korean Bbq Stir Fry Sauce 120G,100g,€1.15,9.58,120g ℮,,538.0,3.1,1.5,True
https://www.tesco.ie/groceries/en-IE/products/250866335,Batchelor Curried Beans 400G,100g,€1.65,4.12,400g ℮,4.1g,315.0,0.7,4.1,False
https://www.tesco.ie/groceries/en-IE/products/317647389,QUALITY STREET Gold Pouch 283g,100g,€7.00,24.74,283g ℮,0.5g,1988.0,21.3,3.3,False
https://www.tesco.ie/groceries/en-IE/products/252389009,Kallo Organic Beef Stock Cubes 66G,100ml,€2.30,34.85,6 x 66g ℮,,29.0,0.5,0.1,False
https://www.tesco.ie/groceries/en-IE/products/315341765,Forest Feast Honey Roast Peanuts And Cashews 55G,100g,€1.50,27.27,,6.3g,2180.0,39.0,19.0,False
https://www.tesco.ie/groceries/en-IE/products/298115300,Bfree Pizza Bases 360G,100g,€4.99,13.86,2 x 180g ℮,10g,1083.0,2.9,3.5,True
https://www.tesco.ie/groceries/en-IE/products/271631040,Goplana Grzeski Chocolate Wafer 36G,100g,€1.00,27.78,36g ℮,,2209.0,30.0,9.0,False
https://www.tesco.ie/groceries/en-IE/products/313186237,Tesco Fruit Muesli 750G,100g,€2.20,2.93,750g e,7.4g,1455.0,3.4,7.8,True
https://www.tesco.ie/groceries/en-IE/products/262614852,Tesco Finest Mincemeat 411G,100g,€4.00,9.73,411g e,2.4g,1161.0,3.0,1.3,True
https://www.tesco.ie/groceries/en-IE/products/252846569,Erin Low Fat Savoury Rice Curry 120G,100g,€2.20,18.33,120g ℮,0.4g,523.0,1.1,2.3,False
https://www.tesco.ie/groceries/en-IE/products/317409467,Tesco Finest Chicken Massaman with Jasmine Rice 450g,100g,€5.50,12.22,450g,1.3g,605.0,4.8,10.7,False
https://www.tesco.ie/groceries/en-IE/products/256784255,Jordans Country Crisp Strawberry Cereal 500G,100g,€4.95,9.9,500g ℮,5.8 g,1823.0,13.2,9.2,True
https://www.tesco.ie/groceries/en-IE/products/311262070,After Eight Dark & Milk Peppermint Chocolate Box 199g,100g,€7.00,35.18,199g ℮,2.3g,2016.0,22.0,3.8,False
https://www.tesco.ie/groceries/en-IE/products/316937981,Tesco Finest Irish Angus Beef 100g,100g,€4.50,45.0,100g,0.5g,570.0,2.3,28.3,False
https://www.tesco.ie/groceries/en-IE/products/312347798,Lindahls Kvarg White Chocolate Flavour Quark 500G,100g,€2.99,5.98,500g ℮,,241.0,0.1,10.0,False
https://www.tesco.ie/groceries/en-IE/products/306820955,Tesco Pink & Red Heart Sprinkles 65G,100g,€2.00,30.77,65g e,1.7g,1845.0,10.3,1.1,True
https://www.tesco.ie/groceries/en-IE/products/317046109,Ferrero Rocher Golden Winter Moments Milk Chocolate & Hazelnut 90g,100g,€4.69,52.11,90g ℮,,2389.0,37.9,6.2,False
https://www.tesco.ie/groceries/en-IE/products/277689814,Charleville Select Red Cheddar 340G,100g,€4.79,14.09,340g ℮,,1725.0,35.0,26.0,False
https://www.tesco.ie/groceries/en-IE/products/285332502,Nolans Atlantic Smoked Salmon 100G,100g,€4.70,47.0,200g,0g,717.0,9.5,21.0,False
https://www.tesco.ie/groceries/en-IE/products/302743199,Keohane's Of Bantry Salmon Fillets 160G,100g,€4.69,29.31,160g ℮,0.0g,847.0,14.0,19.1,False
https://www.tesco.ie/groceries/en-IE/products/309181254,Sun Hee Doenjang Soybean Paste 170G,100g,€2.60,15.29,170g ℮,,660.0,4.5,11.0,True
https://www.tesco.ie/groceries/en-IE/products/257679200,Kinder Bueno Milk & Hazelnut Chocolate Bars Multipack 4 X 43g,100g,€2.79,16.22,4 x 43g ℮,,2384.0,37.3,8.6,False
https://www.tesco.ie/groceries/en-IE/products/301253539,Lindahls Kvarg Peach & Passion Fruit 150G Pot,100g,€1.49,9.93,150g ℮,0.0 g,230.0,0.2,10.0,False
https://www.tesco.ie/groceries/en-IE/products/256860482,Gateaux Chocolate Log 205G,100g,€3.49,17.02,210g ℮,1.6g,1602.0,13.6,4.5,False
https://www.tesco.ie/groceries/en-IE/products/314835350,Nomma Italian Limoncello Panettone 500G,100g,€8.50,17.0,500g ℮,1.3 g,1560.0,15.0,7.5,False
https://www.tesco.ie/groceries/en-IE/products/311784195,Ottimo Four Cheese Ravioli 300G,100g,€3.50,11.67,300g ℮,2.2,718.0,4.4,6.5,False
https://www.tesco.ie/groceries/en-IE/products/312211711,Brady Family Hand Crumbed Irish Ham 10 Slices 120G,100g,€4.00,33.33,120g ℮,,513.0,2.9,24.0,False
https://www.tesco.ie/groceries/en-IE/products/318070406,Biona Organic Himalayan Basmati White Rice 500g,100g,€4.00,8.0,500g ℮,1.0g,1504.0,0.4,6.7,False
